id,case_id,timestamp,stage,actor,action,result,details
aud_REC-0003_2,REC-0003,2026-08-25T15:13:46.851974,DECIDE_PLAYBOOK,RECOVER_AI_ENGINE,DECIDE_PLAYBOOK_PROCESSED,SUCCESS,Processed DECIDE_PLAYBOOK for case REC-0003 (B2B_OVERDUE_RECEIVABLES) under guardrail policy.
aud_REC-0003_3,REC-0003,2026-08-26T16:26:46.851974,CHECK_GUARDRAILS,RECOVER_AI_ENGINE,CHECK_GUARDRAILS_PROCESSED,SUCCESS,Processed CHECK_GUARDRAILS for case REC-0003 (B2B_OVERDUE_RECEIVABLES) under guardrail policy.
aud_REC-0003_4,REC-0003,2026-08-26T16:26:46.851974,EXECUTE_ACTION,RECOVER_AI_ENGINE,EXECUTE_ACTION_PROCESSED,SUCCESS,Processed EXECUTE_ACTION for case REC-0003 (B2B_OVERDUE_RECEIVABLES) under guardrail policy.
aud_REC-0003_5,REC-0003,2026-08-26T16:26:46.851974,VERIFY,RAZORPAY_GATEWAY,VERIFY_PROCESSED,FAILED,Processed VERIFY for case REC-0003 (B2B_OVERDUE_RECEIVABLES) under guardrail policy.
aud_REC-0003_6,REC-0003,2026-08-26T16:26:46.851974,STOP_OR_ESCALATE,RECOVER_AI_ENGINE,STOP_OR_ESCALATE_PROCESSED,FAILED,Processed STOP_OR_ESCALATE for case REC-0003 (B2B_OVERDUE_RECEIVABLES) under guardrail policy.
aud_REC-0004_0,REC-0004,2026-08-24T17:13:46.851974,DETECT,RAZORPAY_GATEWAY,DETECT_PROCESSED,SUCCESS,Processed DETECT for case REC-0004 (MANDATE_RETRY) under guardrail policy.
aud_REC-0004_1,REC-0004,2026-08-24T17:13:46.851974,DIAGNOSE,RECOVER_AI_ENGINE,DIAGNOSE_PROCESSED,SUCCESS,Processed DIAGNOSE for case REC-0004 (MANDATE_RETRY) under guardrail policy.
aud_REC-0004_2,REC-0004,2026-08-24T17:13:46.851974,DECIDE_PLAYBOOK,RECOVER_AI_ENGINE,DECIDE_PLAYBOOK_PROCESSED,SUCCESS,Processed DECIDE_PLAYBOOK for case REC-0004 (MANDATE_RETRY) under guardrail policy.
aud_REC-0004_3,REC-0004,2026-08-26T17:11:46.851974,CHECK_GUARDRAILS,RECOVER_AI_ENGINE,CHECK_GUARDRAILS_PROCESSED,SUCCESS,Processed CHECK_GUARDRAILS for case REC-0004 (MANDATE_RETRY) under guardrail policy.
aud_REC-0004_4,REC-0004,2026-08-26T17:11:46.851974,EXECUTE_ACTION,RECOVER_AI_ENGINE,EXECUTE_ACTION_PROCESSED,SUCCESS,Processed EXECUTE_ACTION for case REC-0004 (MANDATE_RETRY) under guardrail policy.
aud_REC-0004_5,REC-0004,2026-08-26T17:11:46.851974,VERIFY,RAZORPAY_GATEWAY,VERIFY_PROCESSED,FAILED,Processed VERIFY for case REC-0004 (MANDATE_RETRY) under guardrail policy.
aud_REC-0004_6,REC-0004,2026-08-26T17:11:46.851974,STOP_OR_ESCALATE,RECOVER_AI_ENGINE,STOP_OR_ESCALATE_PROCESSED,FAILED,Processed STOP_OR_ESCALATE for case REC-0004 (MANDATE_RETRY) under guardrail policy.
aud_REC-0005_0,REC-0005,2026-08-23T21:13:46.851974,DETECT,RAZORPAY_GATEWAY,DETECT_PROCESSED,SUCCESS,Processed DETECT for case REC-0005 (HINGLISH_RECOVERY) under guardrail policy.
aud_REC-0005_1,REC-0005,2026-08-23T21:13:46.851974,DIAGNOSE,RECOVER_AI_ENGINE,DIAGNOSE_PROCESSED,SUCCESS,Processed DIAGNOSE for case REC-0005 (HINGLISH_RECOVERY) under guardrail policy.
aud_REC-0005_2,REC-0005,2026-08-23T21:13:46.851974,DECIDE_PLAYBOOK,RECOVER_AI_ENGINE,DECIDE_PLAYBOOK_PROCESSED,SUCCESS,Processed DECIDE_PLAYBOOK for case REC-0005 (HINGLISH_RECOVERY) under guardrail policy.
aud_REC-0005_3,REC-0005,2026-08-26T16:37:46.851974,CHECK_GUARDRAILS,RECOVER_AI_ENGINE,CHECK_GUARDRAILS_PROCESSED,SUCCESS,Processed CHECK_GUARDRAILS for case REC-0005 (HINGLISH_RECOVERY) under guardrail policy.
aud_REC-0005_4,REC-0005,2026-08-26T16:37:46.851974,EXECUTE_ACTION,RECOVER_AI_ENGINE,EXECUTE_ACTION_PROCESSED,SUCCESS,Processed EXECUTE_ACTION for case REC-0005 (HINGLISH_RECOVERY) under guardrail policy.
aud_REC-0005_5,REC-0005,2026-08-26T16:37:46.851974,VERIFY,RAZORPAY_GATEWAY,VERIFY_PROCESSED,ESCALATED,Processed VERIFY for case REC-0005 (HINGLISH_RECOVERY) under guardrail policy.
aud_REC-0005_6,REC-0005,2026-08-26T16:37:46.851974,STOP_OR_ESCALATE,RECOVER_AI_ENGINE,STOP_OR_ESCALATE_PROCESSED,ESCALATED,Processed STOP_OR_ESCALATE for case REC-0005 (HINGLISH_RECOVERY) under guardrail policy.
aud_REC-0006_0,REC-0006,2026-08-24T16:13:46.851974,DETECT,RAZORPAY_GATEWAY,DETECT_PROCESSED,SUCCESS,Processed DETECT for case REC-0006 (PROMISE_TO_PAY) under guardrail policy.
aud_REC-0006_1,REC-0006,2026-08-24T16:13:46.851974,DIAGNOSE,RECOVER_AI_ENGINE,DIAGNOSE_PROCESSED,SUCCESS,Processed DIAGNOSE for case REC-0006 (PROMISE_TO_PAY) under guardrail policy.
aud_REC-0006_2,REC-0006,2026-08-24T16:13:46.851974,DECIDE_PLAYBOOK,RECOVER_AI_ENGINE,DECIDE_PLAYBOOK_PROCESSED,SUCCESS,Processed DECIDE_PLAYBOOK for case REC-0006 (PROMISE_TO_PAY) under guardrail policy.
aud_REC-0006_3,REC-0006,2026-08-26T17:29:46.851974,CHECK_GUARDRAILS,RECOVER_AI_ENGINE,CHECK_GUARDRAILS_PROCESSED,SUCCESS,Processed CHECK_GUARDRAILS for case REC-0006 (PROMISE_TO_PAY) under guardrail policy.
aud_REC-0006_4,REC-0006,2026-08-26T17:29:46.851974,EXECUTE_ACTION,RECOVER_AI_ENGINE,EXECUTE_ACTION_PROCESSED,SUCCESS,Processed EXECUTE_ACTION for case REC-0006 (PROMISE_TO_PAY) under guardrail policy.
aud_REC-0006_5,REC-0006,2026-08-26T17:29:46.851974,VERIFY,RAZORPAY_GATEWAY,VERIFY_PROCESSED,SUCCESS,Processed VERIFY for case REC-0006 (PROMISE_TO_PAY) under guardrail policy.
aud_REC-0006_6,REC-0006,2026-08-26T17:29:46.851974,STOP_OR_ESCALATE,RECOVER_AI_ENGINE,STOP_OR_ESCALATE_PROCESSED,SUCCESS,Processed STOP_OR_ESCALATE for case REC-0006 (PROMISE_TO_PAY) under guardrail policy.
aud_REC-0007_0,REC-0007,2026-08-23T21:13:46.851974,DETECT,RAZORPAY_GATEWAY,DETECT_PROCESSED,SUCCESS,Processed DETECT for case REC-0007 (PAYMENT_DEGRADATION) under guardrail policy.
aud_REC-0007_1,REC-0007,2026-08-23T21:13:46.851974,DIAGNOSE,RECOVER_AI_ENGINE,DIAGNOSE_PROCESSED,SUCCESS,Processed DIAGNOSE for case REC-0007 (PAYMENT_DEGRADATION) under guardrail policy.
aud_REC-0007_2,REC-0007,2026-08-23T21:13:46.851974,DECIDE_PLAYBOOK,RECOVER_AI_ENGINE,DECIDE_PLAYBOOK_PROCESSED,SUCCESS,Processed DECIDE_PLAYBOOK for case REC-0007 (PAYMENT_DEGRADATION) under guardrail policy.
aud_REC-0007_3,REC-0007,2026-08-26T18:09:46.851974,CHECK_GUARDRAILS,RECOVER_AI_ENGINE,CHECK_GUARDRAILS_PROCESSED,SUCCESS,Processed CHECK_GUARDRAILS for case REC-0007 (PAYMENT_DEGRADATION) under guardrail policy.
aud_REC-0007_4,REC-0007,2026-08-26T18:09:46.851974,EXECUTE_ACTION,RECOVER_AI_ENGINE,EXECUTE_ACTION_PROCESSED,SUCCESS,Processed EXECUTE_ACTION for case REC-0007 (PAYMENT_DEGRADATION) under guardrail policy.
aud_REC-0007_5,REC-0007,2026-08-26T18:09:46.851974,VERIFY,RAZORPAY_GATEWAY,VERIFY_PROCESSED,FAILED,Processed VERIFY for case REC-0007 (PAYMENT_DEGRADATION) under guardrail policy.
aud_REC-0007_6,REC-0007,2026-08-26T18:09:46.851974,STOP_OR_ESCALATE,RECOVER_AI_ENGINE,STOP_OR_ESCALATE_PROCESSED,FAILED,Processed STOP_OR_ESCALATE for case REC-0007 (PAYMENT_DEGRADATION) under guardrail policy.
aud_REC-0008_0,REC-0008,2026-08-24T11:13:46.851974,DETECT,RAZORPAY_GATEWAY,DETECT_PROCESSED,SUCCESS,Processed DETECT for case REC-0008 (CHECKOUT_ABANDONMENT) under guardrail policy.
aud_REC-0008_1,REC-0008,2026-08-24T11:13:46.851974,DIAGNOSE,RECOVER_AI_ENGINE,DIAGNOSE_PROCESSED,SUCCESS,Processed DIAGNOSE for case REC-0008 (CHECKOUT_ABANDONMENT) under guardrail policy.
aud_REC-0008_2,REC-0008,2026-08-24T11:13:46.851974,DECIDE_PLAYBOOK,RECOVER_AI_ENGINE,DECIDE_PLAYBOOK_PROCESSED,SUCCESS,Processed DECIDE_PLAYBOOK for case REC-0008 (CHECKOUT_ABANDONMENT) under guardrail policy.
aud_REC-0008_3,REC-0008,2026-08-26T17:55:46.851974,CHECK_GUARDRAILS,RECOVER_AI_ENGINE,CHECK_GUARDRAILS_PROCESSED,SUCCESS,Processed CHECK_GUARDRAILS for case REC-0008 (CHECKOUT_ABANDONMENT) under guardrail policy.
aud_REC-0008_4,REC-0008,2026-08-26T17:55:46.851974,EXECUTE_ACTION,RECOVER_AI_ENGINE,EXECUTE_ACTION_PROCESSED,SUCCESS,Processed EXECUTE_ACTION for case REC-0008 (CHECKOUT_ABANDONMENT) under guardrail policy.
aud_REC-0008_5,REC-0008,2026-08-26T17:55:46.851974,VERIFY,RAZORPAY_GATEWAY,VERIFY_PROCESSED,FAILED,Processed VERIFY for case REC-0008 (CHECKOUT_ABANDONMENT) under guardrail policy.
aud_REC-0008_6,REC-0008,2026-08-26T17:55:46.851974,STOP_OR_ESCALATE,RECOVER_AI_ENGINE,STOP_OR_ESCALATE_PROCESSED,FAILED,Processed STOP_OR_ESCALATE for case REC-0008 (CHECKOUT_ABANDONMENT) under guardrail policy.
aud_REC-0009_0,REC-0009,2026-08-24T07:13:46.851974,DETECT,RAZORPAY_GATEWAY,DETECT_PROCESSED,SUCCESS,Processed DETECT for case REC-0009 (FAILED_SUBSCRIPTION) under guardrail policy.
aud_REC-0009_1,REC-0009,2026-08-24T07:13:46.851974,DIAGNOSE,RECOVER_AI_ENGINE,DIAGNOSE_PROCESSED,SUCCESS,Processed DIAGNOSE for case REC-0009 (FAILED_SUBSCRIPTION) under guardrail policy.
aud_REC-0009_2,REC-0009,2026-08-24T07:13:46.851974,DECIDE_PLAYBOOK,RECOVER_AI_ENGINE,DECIDE_PLAYBOOK_PROCESSED,SUCCESS,Processed DECIDE_PLAYBOOK for case REC-0009 (FAILED_SUBSCRIPTION) under guardrail policy.
aud_REC-0009_3,REC-0009,2026-08-26T17:31:46.851974,CHECK_GUARDRAILS,RECOVER_AI_ENGINE,CHECK_GUARDRAILS_PROCESSED,SUCCESS,Processed CHECK_GUARDRAILS for case REC-0009 (FAILED_SUBSCRIPTION) under guardrail policy.
aud_REC-0009_4,REC-0009,2026-08-26T17:31:46.851974,EXECUTE_ACTION,RECOVER_AI_ENGINE,EXECUTE_ACTION_PROCESSED,SUCCESS,Processed EXECUTE_ACTION for case REC-0009 (FAILED_SUBSCRIPTION) under guardrail policy.
aud_REC-0009_5,REC-0009,2026-08-26T17:31:46.851974,VERIFY,RAZORPAY_GATEWAY,VERIFY_PROCESSED,SUCCESS,Processed VERIFY for case REC-0009 (FAILED_SUBSCRIPTION) under guardrail policy.
aud_REC-0009_6,REC-0009,2026-08-26T17:31:46.851974,STOP_OR_ESCALATE,RECOVER_AI_ENGINE,STOP_OR_ESCALATE_PROCESSED,SUCCESS,Processed STOP_OR_ESCALATE for case REC-0009 (FAILED_SUBSCRIPTION) under guardrail policy.
aud_REC-0010_0,REC-0010,2026-08-25T09:13:46.851974,DETECT,RAZORPAY_GATEWAY,DETECT_PROCESSED,SUCCESS,Processed DETECT for case REC-0010 (B2B_OVERDUE_RECEIVABLES) under guardrail policy.
aud_REC-0010_1,REC-0010,2026-08-25T09:13:46.851974,DIAGNOSE,RECOVER_AI_ENGINE,DIAGNOSE_PROCESSED,SUCCESS,Processed DIAGNOSE for case REC-0010 (B2B_OVERDUE_RECEIVABLES) under guardrail policy.
aud_REC-0010_2,REC-0010,2026-08-25T09:13:46.851974,DECIDE_PLAYBOOK,RECOVER_AI_ENGINE,DECIDE_PLAYBOOK_PROCESSED,SUCCESS,Processed DECIDE_PLAYBOOK for case REC-0010 (B2B_OVERDUE_RECEIVABLES) under guardrail policy.
aud_REC-0010_3,REC-0010,2026-08-26T16:26:46.851974,CHECK_GUARDRAILS,RECOVER_AI_ENGINE,CHECK_GUARDRAILS_PROCESSED,SUCCESS,Processed CHECK_GUARDRAILS for case REC-0010 (B2B_OVERDUE_RECEIVABLES) under guardrail policy.
aud_REC-0010_4,REC-0010,2026-08-26T16:26:46.851974,EXECUTE_ACTION,RECOVER_AI_ENGINE,EXECUTE_ACTION_PROCESSED,SUCCESS,Processed EXECUTE_ACTION for case REC-0010 (B2B_OVERDUE_RECEIVABLES) under guardrail policy.
aud_REC-0010_5,REC-0010,2026-08-26T16:26:46.851974,VERIFY,RAZORPAY_GATEWAY,VERIFY_PROCESSED,ESCALATED,Processed VERIFY for case REC-0010 (B2B_OVERDUE_RECEIVABLES) under guardrail policy.
aud_REC-0010_6,REC-0010,2026-08-26T16:26:46.851974,STOP_OR_ESCALATE,RECOVER_AI_ENGINE,STOP_OR_ESCALATE_PROCESSED,ESCALATED,Processed STOP_OR_ESCALATE for case REC-0010 (B2B_OVERDUE_RECEIVABLES) under guardrail policy.
aud_REC-0011_0,REC-0011,2026-08-24T21:13:46.851974,DETECT,RAZORPAY_GATEWAY,DETECT_PROCESSED,SUCCESS,Processed DETECT for case REC-0011 (MANDATE_RETRY) under guardrail policy.
aud_REC-0011_1,REC-0011,2026-08-24T21:13:46.851974,DIAGNOSE,RECOVER_AI_ENGINE,DIAGNOSE_PROCESSED,SUCCESS,Processed DIAGNOSE for case REC-0011 (MANDATE_RETRY) under guardrail policy.
aud_REC-0011_2,REC-0011,2026-08-24T21:13:46.851974,DECIDE_PLAYBOOK,RECOVER_AI_ENGINE,DECIDE_PLAYBOOK_PROCESSED,SUCCESS,Processed DECIDE_PLAYBOOK for case REC-0011 (MANDATE_RETRY) under guardrail policy.
aud_REC-0011_3,REC-0011,2026-08-26T17:44:46.851974,CHECK_GUARDRAILS,RECOVER_AI_ENGINE,CHECK_GUARDRAILS_PROCESSED,SUCCESS,Processed CHECK_GUARDRAILS for case REC-0011 (MANDATE_RETRY) under guardrail policy.
aud_REC-0011_4,REC-0011,2026-08-26T17:44:46.851974,EXECUTE_ACTION,RECOVER_AI_ENGINE,EXECUTE_ACTION_PROCESSED,SUCCESS,Processed EXECUTE_ACTION for case REC-0011 (MANDATE_RETRY) under guardrail policy.
aud_REC-0011_5,REC-0011,2026-08-26T17:44:46.851974,VERIFY,RAZORPAY_GATEWAY,VERIFY_PROCESSED,ESCALATED,Processed VERIFY for case REC-0011 (MANDATE_RETRY) under guardrail policy.
aud_REC-0011_6,REC-0011,2026-08-26T17:44:46.851974,STOP_OR_ESCALATE,RECOVER_AI_ENGINE,STOP_OR_ESCALATE_PROCESSED,ESCALATED,Processed STOP_OR_ESCALATE for case REC-0011 (MANDATE_RETRY) under guardrail policy.
aud_REC-0012_0,REC-0012,2026-08-26T15:13:46.851974,DETECT,RAZORPAY_GATEWAY,DETECT_PROCESSED,SUCCESS,Processed DETECT for case REC-0012 (HINGLISH_RECOVERY) under guardrail policy.
aud_REC-0012_1,REC-0012,2026-08-26T15:13:46.851974,DIAGNOSE,RECOVER_AI_ENGINE,DIAGNOSE_PROCESSED,SUCCESS,Processed DIAGNOSE for case REC-0012 (HINGLISH_RECOVERY) under guardrail policy.
aud_REC-0012_2,REC-0012,2026-08-26T15:13:46.851974,DECIDE_PLAYBOOK,RECOVER_AI_ENGINE,DECIDE_PLAYBOOK_PROCESSED,SUCCESS,Processed DECIDE_PLAYBOOK for case REC-0012 (HINGLISH_RECOVERY) under guardrail policy.
aud_REC-0012_3,REC-0012,2026-08-26T16:53:46.851974,CHECK_GUARDRAILS,RECOVER_AI_ENGINE,CHECK_GUARDRAILS_PROCESSED,SUCCESS,Processed CHECK_GUARDRAILS for case REC-0012 (HINGLISH_RECOVERY) under guardrail policy.
aud_REC-0012_4,REC-0012,2026-08-26T16:53:46.851974,EXECUTE_ACTION,RECOVER_AI_ENGINE,EXECUTE_ACTION_PROCESSED,SUCCESS,Processed EXECUTE_ACTION for case REC-0012 (HINGLISH_RECOVERY) under guardrail policy.
aud_REC-0012_5,REC-0012,2026-08-26T16:53:46.851974,VERIFY,RAZORPAY_GATEWAY,VERIFY_PROCESSED,SUCCESS,Processed VERIFY for case REC-0012 (HINGLISH_RECOVERY) under guardrail policy.
aud_REC-0012_6,REC-0012,2026-08-26T16:53:46.851974,STOP_OR_ESCALATE,RECOVER_AI_ENGINE,STOP_OR_ESCALATE_PROCESSED,SUCCESS,Processed STOP_OR_ESCALATE for case REC-0012 (HINGLISH_RECOVERY) under guardrail policy.
aud_REC-0013_0,REC-0013,2026-08-24T06:13:46.851974,DETECT,RAZORPAY_GATEWAY,DETECT_PROCESSED,SUCCESS,Processed DETECT for case REC-0013 (PROMISE_TO_PAY) under guardrail policy.
aud_REC-0013_1,REC-0013,2026-08-24T06:13:46.851974,DIAGNOSE,RECOVER_AI_ENGINE,DIAGNOSE_PROCESSED,SUCCESS,Processed DIAGNOSE for case REC-0013 (PROMISE_TO_PAY) under guardrail policy.
aud_REC-0013_2,REC-0013,2026-08-24T06:13:46.851974,DECIDE_PLAYBOOK,RECOVER_AI_ENGINE,DECIDE_PLAYBOOK_PROCESSED,SUCCESS,Processed DECIDE_PLAYBOOK for case REC-0013 (PROMISE_TO_PAY) under guardrail policy.
aud_REC-0013_3,REC-0013,2026-08-26T16:43:46.851974,CHECK_GUARDRAILS,RECOVER_AI_ENGINE,CHECK_GUARDRAILS_PROCESSED,SUCCESS,Processed CHECK_GUARDRAILS for case REC-0013 (PROMISE_TO_PAY) under guardrail policy.
aud_REC-0013_4,REC-0013,2026-08-26T16:43:46.851974,EXECUTE_ACTION,RECOVER_AI_ENGINE,EXECUTE_ACTION_PROCESSED,SUCCESS,Processed EXECUTE_ACTION for case REC-0013 (PROMISE_TO_PAY) under guardrail policy.
aud_REC-0013_5,REC-0013,2026-08-26T16:43:46.851974,VERIFY,RAZORPAY_GATEWAY,VERIFY_PROCESSED,FAILED,Processed VERIFY for case REC-0013 (PROMISE_TO_PAY) under guardrail policy.
aud_REC-0013_6,REC-0013,2026-08-26T16:43:46.851974,STOP_OR_ESCALATE,RECOVER_AI_ENGINE,STOP_OR_ESCALATE_PROCESSED,FAILED,Processed STOP_OR_ESCALATE for case REC-0013 (PROMISE_TO_PAY) under guardrail policy.
aud_REC-0014_0,REC-0014,2026-08-25T02:13:46.851974,DETECT,RAZORPAY_GATEWAY,DETECT_PROCESSED,SUCCESS,Processed DETECT for case REC-0014 (PAYMENT_DEGRADATION) under guardrail policy.
aud_REC-0014_1,REC-0014,2026-08-25T02:13:46.851974,DIAGNOSE,RECOVER_AI_ENGINE,DIAGNOSE_PROCESSED,SUCCESS,Processed DIAGNOSE for case REC-0014 (PAYMENT_DEGRADATION) under guardrail policy.
aud_REC-0014_2,REC-0014,2026-08-25T02:13:46.851974,DECIDE_PLAYBOOK,RECOVER_AI_ENGINE,DECIDE_PLAYBOOK_PROCESSED,SUCCESS,Processed DECIDE_PLAYBOOK for case REC-0014 (PAYMENT_DEGRADATION) under guardrail policy.
aud_REC-0014_3,REC-0014,2026-08-26T17:59:46.851974,CHECK_GUARDRAILS,RECOVER_AI_ENGINE,CHECK_GUARDRAILS_PROCESSED,SUCCESS,Processed CHECK_GUARDRAILS for case REC-0014 (PAYMENT_DEGRADATION) under guardrail policy.
aud_REC-0014_4,REC-0014,2026-08-26T17:59:46.851974,EXECUTE_ACTION,RECOVER_AI_ENGINE,EXECUTE_ACTION_PROCESSED,SUCCESS,Processed EXECUTE_ACTION for case REC-0014 (PAYMENT_DEGRADATION) under guardrail policy.
aud_REC-0014_5,REC-0014,2026-08-26T17:59:46.851974,VERIFY,RAZORPAY_GATEWAY,VERIFY_PROCESSED,FAILED,Processed VERIFY for case REC-0014 (PAYMENT_DEGRADATION) under guardrail policy.
aud_REC-0014_6,REC-0014,2026-08-26T17:59:46.851974,STOP_OR_ESCALATE,RECOVER_AI_ENGINE,STOP_OR_ESCALATE_PROCESSED,FAILED,Processed STOP_OR_ESCALATE for case REC-0014 (PAYMENT_DEGRADATION) under guardrail policy.
aud_REC-0015_0,REC-0015,2026-08-25T16:13:46.851974,DETECT,RAZORPAY_GATEWAY,DETECT_PROCESSED,SUCCESS,Processed DETECT for case REC-0015 (CHECKOUT_ABANDONMENT) under guardrail policy.
aud_REC-0015_1,REC-0015,2026-08-25T16:13:46.851974,DIAGNOSE,RECOVER_AI_ENGINE,DIAGNOSE_PROCESSED,SUCCESS,Processed DIAGNOSE for case REC-0015 (CHECKOUT_ABANDONMENT) under guardrail policy.
aud_REC-0015_2,REC-0015,2026-08-25T16:13:46.851974,DECIDE_PLAYBOOK,RECOVER_AI_ENGINE,DECIDE_PLAYBOOK_PROCESSED,SUCCESS,Processed DECIDE_PLAYBOOK for case REC-0015 (CHECKOUT_ABANDONMENT) under guardrail policy.
aud_REC-0015_3,REC-0015,2026-08-26T18:03:46.851974,CHECK_GUARDRAILS,RECOVER_AI_ENGINE,CHECK_GUARDRAILS_PROCESSED,SUCCESS,Processed CHECK_GUARDRAILS for case REC-0015 (CHECKOUT_ABANDONMENT) under guardrail policy.
aud_REC-0015_4,REC-0015,2026-08-26T18:03:46.851974,EXECUTE_ACTION,RECOVER_AI_ENGINE,EXECUTE_ACTION_PROCESSED,SUCCESS,Processed EXECUTE_ACTION for case REC-0015 (CHECKOUT_ABANDONMENT) under guardrail policy.
aud_REC-0015_5,REC-0015,2026-08-26T18:03:46.851974,VERIFY,RAZORPAY_GATEWAY,VERIFY_PROCESSED,FAILED,Processed VERIFY for case REC-0015 (CHECKOUT_ABANDONMENT) under guardrail policy.
aud_REC-0015_6,REC-0015,2026-08-26T18:03:46.851974,STOP_OR_ESCALATE,RECOVER_AI_ENGINE,STOP_OR_ESCALATE_PROCESSED,FAILED,Processed STOP_OR_ESCALATE for case REC-0015 (CHECKOUT_ABANDONMENT) under guardrail policy.
aud_REC-0016_0,REC-0016,2026-08-26T12:13:46.851974,DETECT,RAZORPAY_GATEWAY,DETECT_PROCESSED,SUCCESS,Processed DETECT for case REC-0016 (FAILED_SUBSCRIPTION) under guardrail policy.
aud_REC-0016_1,REC-0016,2026-08-26T12:13:46.851974,DIAGNOSE,RECOVER_AI_ENGINE,DIAGNOSE_PROCESSED,SUCCESS,Processed DIAGNOSE for case REC-0016 (FAILED_SUBSCRIPTION) under guardrail policy.
aud_REC-0016_2,REC-0016,2026-08-26T12:13:46.851974,DECIDE_PLAYBOOK,RECOVER_AI_ENGINE,DECIDE_PLAYBOOK_PROCESSED,SUCCESS,Processed DECIDE_PLAYBOOK for case REC-0016 (FAILED_SUBSCRIPTION) under guardrail policy.
