id,case_id,customer_id,amount_at_risk,recovered_amount,currency,playbook,verification_source,verified_at,idempotency_key
ledg_0049,REC-0049,cust_014,76987,76987,INR,PAYMENT_DEGRADATION,RAZORPAY_WEBHOOK_PAYMENT_CAPTURED,2026-08-26T08:19:46.851974,idemp_REC-0049_2026-08-26
ledg_0050,REC-0050,cust_041,24257,24257,INR,CHECKOUT_ABANDONMENT,RAZORPAY_WEBHOOK_PAYMENT_CAPTURED,2026-08-25T23:20:46.851974,idemp_REC-0050_2026-08-25
ledg_0053,REC-0053,cust_016,19062,19062,INR,MANDATE_RETRY,RAZORPAY_WEBHOOK_PAYMENT_CAPTURED,2026-08-26T11:38:46.851974,idemp_REC-0053_2026-08-26
ledg_0055,REC-0055,cust_001,24790,24790,INR,PROMISE_TO_PAY,RAZORPAY_WEBHOOK_PAYMENT_CAPTURED,2026-08-25T22:21:46.851974,idemp_REC-0055_2026-08-25
ledg_0057,REC-0057,cust_021,23854,23854,INR,CHECKOUT_ABANDONMENT,RAZORPAY_WEBHOOK_PAYMENT_CAPTURED,2026-08-26T05:04:46.851974,idemp_REC-0057_2026-08-26
ledg_0058,REC-0058,cust_048,54968,54968,INR,FAILED_SUBSCRIPTION,RAZORPAY_WEBHOOK_PAYMENT_CAPTURED,2026-08-26T12:57:46.851974,idemp_REC-0058_2026-08-26
ledg_0064,REC-0064,cust_011,1947,1947,INR,CHECKOUT_ABANDONMENT,RAZORPAY_WEBHOOK_PAYMENT_CAPTURED,2026-08-26T16:14:46.851974,idemp_REC-0064_2026-08-26
ledg_0065,REC-0065,cust_010,74621,74621,INR,FAILED_SUBSCRIPTION,RAZORPAY_WEBHOOK_PAYMENT_CAPTURED,2026-08-26T12:00:46.851974,idemp_REC-0065_2026-08-26
ledg_0067,REC-0067,cust_041,16058,16058,INR,MANDATE_RETRY,RAZORPAY_WEBHOOK_PAYMENT_CAPTURED,2026-08-26T17:49:46.851974,idemp_REC-0067_2026-08-26
ledg_0069,REC-0069,cust_017,10898,10898,INR,PROMISE_TO_PAY,RAZORPAY_WEBHOOK_PAYMENT_CAPTURED,2026-08-26T05:01:46.851974,idemp_REC-0069_2026-08-26
ledg_0070,REC-0070,cust_023,43696,43696,INR,PAYMENT_DEGRADATION,RAZORPAY_WEBHOOK_PAYMENT_CAPTURED,2026-08-26T04:38:46.851974,idemp_REC-0070_2026-08-26
ledg_0072,REC-0072,cust_041,86381,86381,INR,FAILED_SUBSCRIPTION,RAZORPAY_WEBHOOK_PAYMENT_CAPTURED,2026-08-26T13:28:46.851974,idemp_REC-0072_2026-08-26
ledg_0074,REC-0074,cust_048,6754,6754,INR,MANDATE_RETRY,RAZORPAY_WEBHOOK_PAYMENT_CAPTURED,2026-08-25T23:44:46.851974,idemp_REC-0074_2026-08-25
ledg_0077,REC-0077,cust_024,56717,56717,INR,PAYMENT_DEGRADATION,RAZORPAY_WEBHOOK_PAYMENT_CAPTURED,2026-08-25T23:50:46.851974,idemp_REC-0077_2026-08-25
ledg_0078,REC-0078,cust_048,20153,20153,INR,CHECKOUT_ABANDONMENT,RAZORPAY_WEBHOOK_PAYMENT_CAPTURED,2026-08-26T05:28:46.851974,idemp_REC-0078_2026-08-26
ledg_0079,REC-0079,cust_040,84964,84964,INR,FAILED_SUBSCRIPTION,RAZORPAY_WEBHOOK_PAYMENT_CAPTURED,2026-08-26T15:59:46.851974,idemp_REC-0079_2026-08-26
ledg_0080,REC-0080,cust_027,123283,123283,INR,B2B_OVERDUE_RECEIVABLES,RAZORPAY_WEBHOOK_PAYMENT_CAPTURED,2026-08-26T16:52:46.851974,idemp_REC-0080_2026-08-26
ledg_0084,REC-0084,cust_004,41160,41160,INR,PAYMENT_DEGRADATION,RAZORPAY_WEBHOOK_PAYMENT_CAPTURED,2026-08-26T13:58:46.851974,idemp_REC-0084_2026-08-26
ledg_0090,REC-0090,cust_009,18237,18237,INR,PROMISE_TO_PAY,RAZORPAY_WEBHOOK_PAYMENT_CAPTURED,2026-08-26T15:58:46.851974,idemp_REC-0090_2026-08-26
ledg_0091,REC-0091,cust_007,71039,71039,INR,PAYMENT_DEGRADATION,RAZORPAY_WEBHOOK_PAYMENT_CAPTURED,2026-08-26T16:40:46.851974,idemp_REC-0091_2026-08-26
ledg_0098,REC-0098,cust_024,67163,67163,INR,PAYMENT_DEGRADATION,RAZORPAY_WEBHOOK_PAYMENT_CAPTURED,2026-08-26T15:14:46.851974,idemp_REC-0098_2026-08-26
